nohup: ignoring input
 Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s] Loading checkpoint shards:  50%|█████     | 1/2 [00:05<00:05,  5.20s/it] Loading checkpoint shards: 100%|██████████| 2/2 [00:07<00:00,  3.22s/it] Loading checkpoint shards: 100%|██████████| 2/2 [00:07<00:00,  3.52s/it]
Found cached dataset csv (/data/jc/hf/mrm8488___csv/mrm8488--fake-news-d4fd5c02f3284619/0.0.0/6954658bab30a358235fa864b05cf819af0e179325c740e4bc853bcc7ec513e1)
/home/jkl6486/miniconda3/envs/sbit/lib/python3.11/site-packages/transformers/optimization.py:457: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
Epoch 0, Loss: 1.512811541557312
Epoch 0, Loss: 1.7829029560089111
Epoch 0, Loss: 1.425166368484497
Epoch 0, Loss: 1.7731376886367798
Epoch 0, Loss: 1.421775460243225
Epoch 0, Loss: 1.9259141683578491
Epoch 0, Loss: 1.5137468576431274
Epoch 0, Loss: 1.4170269966125488
Epoch 0, Loss: 1.359597086906433
Epoch 0, Loss: 1.7736824750900269
Epoch 0, Loss: 1.1884177923202515
Epoch 0, Loss: 1.5730516910552979
Epoch 0, Loss: 1.6772295236587524
Epoch 0, Loss: 1.688150405883789
Epoch 0, Loss: 0.6359544992446899
Epoch 0, Loss: 1.6382853984832764
Epoch 0, Loss: 1.4807658195495605
Epoch 0, Loss: 1.045072078704834
Epoch 0, Loss: 1.9867486953735352
Epoch 0, Loss: 2.1425867080688477
Epoch 0, Loss: 1.9090086221694946
Epoch 0, Loss: 1.346478819847107
Epoch 0, Loss: 1.765760898590088
Epoch 0, Loss: 1.7186601161956787
Epoch 0, Loss: 1.8606764078140259
Epoch 0, Loss: 1.9935274124145508
Epoch 0, Loss: 1.5352786779403687
Epoch 0, Loss: 1.4059062004089355
Epoch 0, Loss: 2.0758092403411865
Epoch 0, Loss: 1.4791831970214844
Epoch 0, Loss: 1.675902009010315
Epoch 0, Loss: 1.3157191276550293
Epoch 0, Loss: 1.4293922185897827
Epoch 0, Loss: 1.5086437463760376
Epoch 0, Loss: 1.5764963626861572
Epoch 0, Loss: 1.238507866859436
Epoch 0, Loss: 1.980170488357544
Epoch 0, Loss: 1.3615165948867798
Epoch 0, Loss: 1.3214434385299683
Epoch 0, Loss: 1.438987135887146
Epoch 0, Loss: 1.475354552268982
Epoch 0, Loss: 1.6585520505905151
Epoch 0, Loss: 1.6669518947601318
Epoch 0, Loss: 1.8396109342575073
Epoch 0, Loss: 1.981719732284546
Epoch 0, Loss: 1.800244927406311
Epoch 0, Loss: 1.3121545314788818
Epoch 0, Loss: 1.6927268505096436
Epoch 0, Loss: 1.2028273344039917
Epoch 0, Loss: 1.273469090461731
Epoch 0, Loss: 1.9334166049957275
Epoch 0, Loss: 1.8761399984359741
Epoch 0, Loss: 1.820552110671997
Epoch 0, Loss: 1.8953694105148315
Epoch 0, Loss: 2.0758399963378906
Epoch 0, Loss: 1.3542683124542236
Epoch 0, Loss: 1.8658205270767212
Epoch 0, Loss: 1.7195258140563965
Epoch 0, Loss: 1.714703917503357
Epoch 0, Loss: 1.7118886709213257
Epoch 0, Loss: 1.665847897529602
Epoch 0, Loss: 1.8440053462982178
Epoch 0, Loss: 1.7964460849761963
Epoch 0, Loss: 1.6045972108840942
Epoch 0, Loss: 1.964056372642517
Epoch 0, Loss: 1.2115144729614258
Epoch 0, Loss: 1.818731427192688
Epoch 0, Loss: 1.6491222381591797
Epoch 0, Loss: 1.6879005432128906
Epoch 0, Loss: 1.2908364534378052
Epoch 0, Loss: 1.6690741777420044
Epoch 0, Loss: 1.6701031923294067
Epoch 0, Loss: 1.2228068113327026
Epoch 0, Loss: 1.9707225561141968
Epoch 0, Loss: 2.1772141456604004
Epoch 0, Loss: 1.9630329608917236
Epoch 0, Loss: 1.4441572427749634
Epoch 0, Loss: 2.039517879486084
Epoch 0, Loss: 1.4960014820098877
Epoch 0, Loss: 1.6305034160614014
Epoch 0, Loss: 1.7034292221069336
Epoch 0, Loss: 1.7331048250198364
Epoch 0, Loss: 1.0363463163375854
Epoch 0, Loss: 2.0805211067199707
Epoch 0, Loss: 1.1613348722457886
Epoch 0, Loss: 1.3819079399108887
Epoch 0, Loss: 1.8088788986206055
Epoch 0, Loss: 1.5796160697937012
Epoch 0, Loss: 1.9810997247695923
Epoch 0, Loss: 1.1785752773284912
Epoch 0, Loss: 1.1784672737121582
Epoch 0, Loss: 0.9858181476593018
Epoch 0, Loss: 1.8787282705307007
Epoch 0, Loss: 1.3400944471359253
Epoch 0, Loss: 1.0666898488998413
Epoch 0, Loss: 1.8036335706710815
Epoch 0, Loss: 1.7343688011169434
Epoch 0, Loss: 2.028686046600342
Epoch 0, Loss: 1.8147029876708984
Epoch 0, Loss: 1.4352391958236694
Epoch 0, Loss: 1.1115647554397583
Epoch 0, Loss: 1.8028351068496704
Epoch 0, Loss: 1.658628225326538
Epoch 0, Loss: 1.7561126947402954
Epoch 0, Loss: 1.3777302503585815
Epoch 0, Loss: 1.1274478435516357
Epoch 0, Loss: 1.0471725463867188
Epoch 0, Loss: 1.9010989665985107
Epoch 0, Loss: 1.7706871032714844
Epoch 0, Loss: 1.6212050914764404
Epoch 0, Loss: 2.0482685565948486
Epoch 0, Loss: 1.527435064315796
Epoch 0, Loss: 1.8183871507644653
Epoch 0, Loss: 1.5801655054092407
Epoch 0, Loss: 1.7599447965621948
Epoch 0, Loss: 1.4371391534805298
Epoch 0, Loss: 1.6961678266525269
Epoch 0, Loss: 1.7932859659194946
Epoch 0, Loss: 1.3994487524032593
Epoch 0, Loss: 1.7022494077682495
Epoch 0, Loss: 1.8913613557815552
Epoch 0, Loss: 1.5017188787460327
Epoch 0, Loss: 1.6222591400146484
Epoch 0, Loss: 1.5347082614898682
Epoch 0, Loss: 1.7668157815933228
Epoch 0, Loss: 1.1078966856002808
Epoch 0, Loss: 1.597714900970459
Epoch 0, Loss: 1.7402158975601196
Epoch 0, Loss: 1.9027390480041504
Epoch 0, Loss: 1.9143092632293701
Epoch 0, Loss: 1.3955554962158203
Epoch 0, Loss: 1.4216610193252563
Epoch 0, Loss: 1.6581999063491821
Epoch 0, Loss: 1.3900727033615112
Epoch 0, Loss: 1.2604362964630127
Epoch 0, Loss: 1.826876163482666
Epoch 0, Loss: 1.4384528398513794
Epoch 0, Loss: 1.285475730895996
Epoch 0, Loss: 1.6228582859039307
Epoch 0, Loss: 1.8554418087005615
Epoch 0, Loss: 1.8478326797485352
Epoch 0, Loss: 1.4548802375793457
Epoch 0, Loss: 1.6912813186645508
Epoch 0, Loss: 1.8682883977890015
Epoch 0, Loss: 1.5934746265411377
Epoch 0, Loss: 1.4578644037246704
Epoch 0, Loss: 1.8088405132293701
Epoch 0, Loss: 1.6408259868621826
Epoch 0, Loss: 1.5937697887420654
Epoch 0, Loss: 1.6279391050338745
Epoch 0, Loss: 1.6235569715499878
Epoch 0, Loss: 1.266808271408081
Epoch 0, Loss: 1.8441188335418701
Epoch 0, Loss: 1.6769917011260986
Epoch 0, Loss: 1.8830653429031372
Epoch 0, Loss: 1.452574372291565
Epoch 0, Loss: 1.3510887622833252
Epoch 0, Loss: 1.1555851697921753
Epoch 0, Loss: 1.4997481107711792
Epoch 0, Loss: 1.843519687652588
Epoch 0, Loss: 1.8202656507492065
Epoch 0, Loss: 1.7565306425094604
Epoch 0, Loss: 1.2535808086395264
Epoch 0, Loss: 1.265278935432434
Epoch 0, Loss: 1.3239144086837769
Epoch 0, Loss: 2.037701368331909
Epoch 0, Loss: 1.8360759019851685
Epoch 0, Loss: 0.9192463755607605
Epoch 0, Loss: 1.999117136001587
Epoch 0, Loss: 1.569489598274231
Epoch 0, Loss: 1.408464789390564
Epoch 0, Loss: 1.3304954767227173
Epoch 0, Loss: 1.554483413696289
Epoch 0, Loss: 1.667175054550171
Epoch 0, Loss: 1.7265455722808838
Epoch 0, Loss: 1.0314650535583496
Epoch 0, Loss: 1.5971039533615112
Epoch 0, Loss: 1.5001356601715088
Epoch 0, Loss: 1.6413278579711914
Epoch 0, Loss: 1.9812554121017456
Epoch 0, Loss: 1.2197163105010986
Epoch 0, Loss: 1.4401440620422363
Epoch 0, Loss: 0.9933899641036987
Epoch 0, Loss: 1.977492332458496
Epoch 0, Loss: 1.682555079460144
Epoch 0, Loss: 1.717464804649353
Epoch 0, Loss: 1.633958101272583
Epoch 0, Loss: 1.296993374824524
Epoch 0, Loss: 1.6107717752456665
Epoch 0, Loss: 1.320381760597229
Epoch 0, Loss: 1.6866549253463745
Epoch 0, Loss: 1.6223888397216797
Epoch 0, Loss: 1.6221544742584229
Epoch 0, Loss: 1.3592586517333984
Epoch 0, Loss: 1.1562390327453613
Epoch 0, Loss: 2.0685606002807617
Epoch 0, Loss: 1.5543910264968872
Epoch 0, Loss: 1.4739989042282104
Epoch 0, Loss: 1.4005837440490723
Epoch 0, Loss: 1.3730775117874146
Epoch 0, Loss: 1.6737301349639893
Epoch 0, Loss: 0.996461033821106
Epoch 0, Loss: 1.4743069410324097
Epoch 0, Loss: 1.5326876640319824
Epoch 0, Loss: 1.5465019941329956
Epoch 0, Loss: 1.7993799448013306
Epoch 0, Loss: 1.7545119524002075
Epoch 0, Loss: 1.480111002922058
Epoch 0, Loss: 1.278496503829956
Epoch 0, Loss: 1.9129897356033325
Epoch 0, Loss: 1.5820982456207275
Epoch 0, Loss: 1.2738356590270996
Epoch 0, Loss: 1.7339876890182495
Epoch 0, Loss: 1.4880424737930298
Epoch 0, Loss: 1.9049103260040283
Epoch 0, Loss: 1.3041744232177734
Epoch 0, Loss: 1.5837376117706299
Epoch 0, Loss: 1.7654274702072144
Epoch 0, Loss: 1.788651466369629
Epoch 0, Loss: 1.8232430219650269
Epoch 0, Loss: 1.4463236331939697
Epoch 0, Loss: 1.2042717933654785
Epoch 0, Loss: 1.9639934301376343
Epoch 0, Loss: 1.3746309280395508
Epoch 0, Loss: 2.242776870727539
Epoch 0, Loss: 1.2465931177139282
Epoch 0, Loss: 1.4848631620407104
Epoch 0, Loss: 2.0858237743377686
Epoch 0, Loss: 1.0798453092575073
Epoch 0, Loss: 1.7231953144073486
Epoch 0, Loss: 1.5715314149856567
Epoch 0, Loss: 1.196693778038025
Epoch 0, Loss: 1.2078185081481934
Epoch 0, Loss: 1.3074307441711426
Epoch 0, Loss: 1.3946748971939087
Epoch 0, Loss: 1.1775579452514648
Epoch 0, Loss: 2.028985023498535
Epoch 0, Loss: 1.5896308422088623
Epoch 0, Loss: 1.8742444515228271
Epoch 0, Loss: 1.6576075553894043
Epoch 0, Loss: 1.221725583076477
